office,country
Washington Liaison Office,United States
Tokyo Liaison Office,Japan
Geneva Liaison Office,Switzerland
Brussels Liaison Office,Belgium
Copenhagen Liaison Office,Denmark
Kuala Lumpur Global Shared Services Centre,Malaysia
HQ New York,United States
Singapore Global Centre,Singapore
Oslo Governance Centre,Norway
Nairobi Global Policy Centre,Kenya
Seoul Policy Centre,South Korea
Namibia,Namibia
Côte d’Ivoire,Côte d’Ivoire
Burkina Faso,Burkina Faso
Central African Republic,Central African Republic
Eswatini,Eswatini
Kenya,Kenya
Niger,Niger
Mali,Mali
Guinea,Guinea
Chad,Chad
Malawi,Malawi
"Tanzania, United Republic of",Tanzania
South Africa,South Africa
"Cameroon, Republic of",Cameroon
Liberia,Liberia
Nigeria,Nigeria
Angola,Angola
Burundi,Burundi
Africa Regional Hub - Addis Ababa,Central African Republic
Madagascar,Madagascar
Ethiopia,Ethiopia
Zambia,Zambia
Mozambique,Mozambique
Senegal,Senegal
Guinea-Bissau,Guinea-Bissau
Dakar Regional Service Centre,Senegal
Rwanda,Rwanda
Eritrea,Eritrea
Comoros,Comoros
"Congo, Democratic Republic",Congo
Mauritania,Mauritania
Sao Tome and Principe,Sao Tome and Principe
Cape Verde,Cape Verde
Congo,Congo
Botswana,Botswana
Togo,Togo
Mauritius & Seychelles,Mauritius
Equatorial Guinea,Equatorial Guinea
Gabon,Gabon
Uganda,Uganda
Gambia,Gambia
"South Sudan, Republic of",South Sudan
Sierra Leone,Sierra Leone
Zimbabwe,Zimbabwe
Lesotho,Lesotho
Ghana,Ghana
Benin,Benin
Asia Pacific Regional Hub - Bangkok,Thailand
Timor-Leste,Timor-Leste
Maldives,Maldives
Philippines,Philippines
India,India
"Iran, Islamic Republic",Iran
China,China
Mongolia,Mongolia
Pakistan,Pakistan
Viet Nam,Viet Nam
Cambodia,Cambodia
Nepal,Nepal
Malaysia,Malaysia
Samoa,Samoa
Bangladesh,Bangladesh
Papua New Guinea,Papua New Guinea
Lao People's Democratic,Laos
Pacific Office in Fiji,Fiji
Indonesia,Indonesia
Myanmar,Myanmar
Thailand,Thailand
Sri Lanka,Sri Lanka
Bhutan,Bhutan
Afghanistan,Afghanistan
Prog. of Assistance to the Palestinian People,Palestine
Saudi Arabia,Saudi Arabia
Somalia,Somalia
Jordan,Jordan
Iraq,Iraq
"Yemen, Republic of",Yemen
Arab States Regional Hub - Amman,Jordan
Kuwait,Kuwait
Libya,Libya
Bahrain,Bahrain
Syrian Arab Republic,Syrian Arab Republic
Lebanon,Lebanon
Tunisia,Tunisia
Djibouti,Djibouti
Algeria,Algeria
Morocco,Morocco
Egypt,Egypt
Albania,Albania
Bosnia and Herzegovina,Bosnia and Herzegovina
Kosovo,Kosovo
Montenegro,Montenegro
Kazakhstan,Kazakhstan
Tajikistan,Tajikistan
North Macedonia,North Macedonia
Ukraine,Ukraine
Kyrgyzstan,Kyrgyzstan
Serbia,Serbia
Cyprus,Cyprus
Turkey,Turkey
Europe & CIS Regional Hub - Istanbul,Turkey
Armenia,Armenia
"Moldova, Republic of",Moldova
Uzbekistan,Uzbekistan
Azerbaijan,Azerbaijan
Georgia,Georgia
Turkmenistan,Turkmenistan
"Belarus, Republic of",Belarus
Dominican Republic,Dominican Republic
Brazil,Brazil
Trinidad and Tobago,Trinidad and Tobago
Latin America & Caribbean Regional Hub - Panama,Panama
Belize,Belize
Suriname,Suriname
Uruguay,Uruguay
Venezuela,Venezuela
Guyana,Guyana
Colombia,Colombia
Haiti,Haiti
Paraguay,Paraguay
Ecuador,Ecuador
Honduras,Honduras
Panama,Panama
Argentina,Argentina
Peru,Peru
Mexico,Mexico
Guatemala,Guatemala
Jamaica,Jamaica
Costa Rica,Costa Rica
El Salvador,El Salvador
Bolivia,Bolivia
Cuba,Cuba
Chile,Chile
Barbados and the Eastern Caribbean,Barbados
